"HU","Order","elev_mean","elev_range","logArea","slope","bio1","bio4","prec","runoff","HFI","wt_mean"
"PY",1,57.2180557250977,1344,9.99338888056702,0.874860823154449,17.6059761047363,866.148254394531,1585.33483886719,837.889953613281,17.5902320688421,17.211145401001
"GJ",2,279.65576171875,1988,11.2781896827893,2.78397727012634,17.6824836730957,789.027404785156,1573.23388671875,799.392456054688,13.4621070948514,18.2017936706543
"FH",3,227.551910400391,1409,9.64369174537443,2.57237887382507,17.7434940338135,805.081970214844,1727.84008789062,851.307006835938,12.9869182326577,18.0889110565186
"XJ",4,276.106811523438,2012,9.51411029738262,3.41678380966187,17.4491596221924,803.699279785156,1794.94995117188,901.437438964844,15.0708510658958,17.3704853057861
"RH",5,210.863876342773,1429,9.36408454735806,3.03409171104431,16.8388347625732,836.503723144531,1712.37878417969,875.761840820312,12.7186104167591,16.7704849243164
"xH",6,323.348876953125,1616,9.62426401533159,4.20368099212646,16.1300373077393,856.076232910156,1562.38269042969,833.153869628906,12.0467814098705,16.4045658111572
"YT",7,150.696029663086,1423,8.29870919185828,2.68301272392273,16.7134552001953,887.668701171875,1484.92102050781,688.954162597656,16.7360425428911,16.6037044525146
"DJ",8,571.284057617188,959,8.20554787387221,4.15636920928955,18.1246738433838,656.302062988281,1694.72924804688,869.298461914062,10.94554940137,19.1488628387451
"PS",9,266.893737792969,1899,7.75316002479719,3.02170968055725,16.7650585174561,828.564697265625,1524.92895507812,1119.92004394531,16.4342938769947,17.2662086486816
