Genus.species,PL,GR,FR,XJ,RR,XR,YR,ER,PR
Acipenser_sinensis,,1,,,,,1,,
Psephurus_gladius,1,,,,,,1,,
Anguilla_japonica,1,1,,1,,,1,,
Tenualosa_reevesii,1,1,,1,,,,,
Coilia_nasus,1,,1,1,,,1,,
Coilia_brachygnathus,1,1,1,1,,,1,,
Myxocyprinus_asiaticus,1,1,,1,,1,1,,
Lepturichthys_fimbriatus,1,1,,1,,,,,
Lepturichthys_dolichopterus,,1,,,,,,,
Leptobotia_hengyangensis,,1,,,,,,,
Leptobotia_citrauratea,,1,,,,,,,
Leptobotia_micra,,1,,,,,,,
Leptobotia_aff.Bellacauda,,1,,,,,,,
Leptobotia_taeniops,1,1,,1,,,,,
Parabotia_fasciatus,1,1,1,1,,1,1,,
Parabotia_banarescui,,1,,1,,,1,,
Parabotia_lijiangensis,,1,,1,,,,,
Parabotia_kiangsiensis,,1,,1,,,,,
Parabotia_maculosus,,1,,,,,,,
Cobitis_sinensis,1,1,1,1,,1,,1,
Cobitis_macrostigma,1,1,1,1,,,,,
Cobitis_crassicauda,,,,1,,,,,
Cobitis_fasciola,,,,1,,,,,
Cobitis_stenocauda,,,,1,,,,,
Cobitis_xinjiangensis,,,,1,,,,,
Misgurnus_anguillicaudatus,1,1,1,1,1,1,1,1,1
Misgurnus_dabryanus,1,1,,1,,1,,1,1
Vanmanenia_stenosoma,,1,,,,,,,1
Vanmanenia_aff.Maculata,,1,1,,,1,,1,1
Vanmanenia_gymnetrus,,1,,,,,,1,
Vanmanenia_caldwelli,,,1,,,,,,
Pseudogastromyzon_fasciatus,,,,1,,,,,
Pseudogastromyzon_changtingensis,,1,,1,,,,1,
Pseudogastromyzon_fangi,,1,,,,,,1,
Formosania_paucisquama,,1,,,,,,1,
Schistura_incerta,,1,1,,,1,,1,
Schistura_fasciolata,,1,1,,,1,,1,1
Oreonectes_platycephalus,,1,,,,,,,
Traccatichthys_pulcher,,1,,,,,,,
Spinibarbus_caldwelli,1,1,1,1,1,1,1,1,
Acrossocheilus_kreyenbergii,1,1,1,1,1,,,1,1
Acrossocheilus_parallens,,1,1,1,,1,,1,1
Onychostoma_virgulatum,,1,,1,,,,1,
Onychostoma_brevibarba,,1,,1,,1,,1,
Onychostoma_lini,,1,,1,,,,1,
Folifer_brevifilis,,1,,1,,,,,1
Barbodes_semifasciolatus,,1,,,,,,1,
Parasinilabeo_maculatus,,1,,,,,,,
Garra_orientalis,,1,,,,,,,
Cyprinus_rubrofuscus,1,1,1,1,1,1,1,1,1
Carassius_auratus,1,1,1,1,1,1,1,1,1
Zacco_aff.Acanthogenys,1,1,1,1,1,1,,1,1
Opsariichthys_bidens,1,1,1,1,1,1,1,1,1
Zacco_acutipinnis,,1,,,,,,,
Mylopharyngodon_piceus,1,1,1,1,1,1,1,1,
Ctenopharyngodon_idella,1,1,1,1,1,1,1,1,
Squaliobarbus_curriculus,1,1,1,1,1,1,1,,
Ochetobius_elongatus,1,1,1,1,,,,,
Luciobrama_macrocephalus,1,1,1,1,,,,,
Elopichthys_bambusa,1,1,1,1,1,1,1,,
Sinibrama_macrops,,1,1,1,1,1,,1,1
Pseudolaubuca_sinensis,1,1,1,1,1,,1,,
Pseudolaubuca_engraulis,1,1,,1,1,,1,,
Toxabramis_swinhonis,1,1,1,1,,,,,
Hemiculter_leucisculus,1,1,1,1,1,1,1,1,1
Hemiculter_bleekeri,1,1,1,1,1,1,,,
Hemiculterella_sauvagei,,1,1,1,,,,,
Hemiculterella_wui,,1,1,,1,1,,1,1
Pseudohemiculter_dispar,,1,1,1,1,1,,,
Pseudohemiculter_hainanensis,,1,,1,1,1,,1,
Culter_alburnus,1,1,1,1,,1,1,,1
Chanodichthys_erythropterus,1,1,1,1,,1,1,,
Chanodichthys_mongolicus,1,1,1,1,1,1,1,,
Chanodichthys_oxycephalus,1,1,,1,1,,,,
Chanodichthys_dabryi,1,1,1,1,,1,1,,
Parabramis_pekinensis,1,1,1,1,1,1,1,,
Megalobrama_amblycephala,1,1,1,1,1,1,1,1,
Megalobrama_terminalis,1,1,1,1,1,1,1,1,
Xenocypris_macrolepis,1,1,1,1,1,1,1,1,1
Xenocypris_davidi,1,1,1,1,1,1,1,1,1
Plagiognathops_microlepis,1,1,1,1,1,1,,1,1
Distoechodon_tumirostris,1,1,1,1,1,1,,1,1
Pseudobrama_simoni,1,1,1,1,1,1,,,
Hypophthalmichthys_nobilis,1,1,1,1,1,1,1,1,1
Hypophthalmichthys_molitrix,1,1,1,1,1,1,1,1,1
Aphyocypris_chinensis,,1,,,,,,,
Acheilognathus_macropterus,1,1,1,1,1,1,1,,
Acheilognathus_tonkinensis,1,1,1,1,1,1,,,
Acheilognathus_barbatulus,,1,1,1,1,1,,,
Acheilognathus_polylepis,,1,1,1,1,1,,,1
Acheilognathus_meridianus,,1,1,1,1,,,,1
Acheilognathus_hypselonotus,1,1,,,,,,,
Acanthorhodeus_chankaensis,1,1,1,1,1,1,,,
Acheilognathus_barbatus,,1,1,1,,,,,
Acheilognathus_macromandibularis,1,,,,,,,,
Paratanakia_chii,,1,,,,,,,
Rhodeus_sinensis,1,1,1,1,1,1,,1,1
Rhodeus_ocellatus,1,1,1,1,1,1,,1,1
Rhodeus_fangi,,1,1,1,,,,1,1
Rhodeus_lighti,1,1,1,1,,,,,
Rhodeus_nigrodorsalis,,,,,1,,,,
Rhodeus_flaviventris,,,,,1,,,,
Rhodeus_albomarginatus,,,,,1,,,,
Hemibarbus_labeo,1,1,1,1,1,1,1,1,1
Hemibarbus_maculatus,1,1,1,1,1,1,1,1,1
Paracanthobrama_guichenoti,1,1,1,1,,,1,,
Belligobio_nummifer,,,,,,1,,,
Pseudorasbora_parva,1,1,1,1,1,1,1,1,1
Pseudorasbora_elongata,1,1,,1,1,,,,
Sarcocheilichthys_sinensis,1,1,1,1,1,1,,,
Sarcocheilichthys_parvus,1,1,1,1,,1,,,
Sarcocheilichthys_nigripinnis,1,1,1,1,1,,1,1,1
Sarcoheilichthys_vittatus,,1,1,,,,,,
Sarcoheilichthys_kiangsiensis,,1,1,1,,,,,
Gnathopogon_taeniellus,,,,,1,,,,
Gnathopogon_nicholsi,,1,,,,,,,
Gnathopogon_aff.Imberbis,,1,,,,1,,,
Platysmacheilus_longibarbatus,,1,1,1,,1,,,
Microphysogobio_chenhsienensis,,1,1,1,,1,,,
Squalidus_argentatus,1,1,1,1,1,1,1,1,1
Squalidus_wolterstorffi,1,1,1,1,1,1,,1,
Coreius_heterodon,1,1,1,,,,1,,
Rhinogobio_typus,1,1,1,1,1,1,1,,
Rhinogobio_cylindricus,1,1,,1,,,,,
Abbottina_rivularis,1,1,1,1,1,1,1,1,1
Microphysogobio_microstomus,1,,1,,,,,,
Microphysogobio_tungtingensis,,1,,1,,,,,
Microphysogobio_nudiventris,,1,,,,,,,
Microphysogobio_zhangi,,1,1,1,1,,,,
Microphysogobio_bicolor,,1,,1,1,,,,
Microphysogobio_kachekensis,,,,,,,,1,
Pseudogobio_vaillanti,,1,1,1,,1,,1,1
Saurogobio_dumerili,1,1,1,1,,,1,,
Saurogobio_dabryi,1,1,1,1,1,1,1,1,1
Saurogobio_gymnocheilus,,1,,1,,1,,,
Saurogobio_punctatus,1,1,,,,1,,,
Saurogobio_xiangjiangensis,,1,1,,,1,,,
Saurogobio_gracilicaudatus,,1,,1,,1,,,
Gobiobotia_meridionalis,,1,1,1,1,,,,
Gobiobotia_tungi,,1,1,1,,,,,
Gobiobotia_jiangxiensis,,,,1,,,,,
Gobiobotia_kolleri,,1,,,,,,,
Rhynchocypris_oxycephala,1,1,,1,1,1,,,
Tachysurus_sinensis,1,1,1,1,1,1,1,1,1
Tachysurus_eupogon,1,1,1,1,,,,,
Tachysurus_vachellii,1,1,1,1,1,1,1,,
Tachysurus_nitidus,1,1,1,1,1,1,1,,
Tachysurus_dumerili,1,1,1,,,,1,,
Tachysurus_crassilabris,1,1,1,1,,1,1,,
Tachysurus_torosilabris,1,,1,1,,,,,
Tachysurus_analis,1,1,1,1,,1,,1,
Tachysurus_tenuis,1,1,,,,,,,
Tachysurus_ussuriensi,1,1,1,1,1,1,,1,
Tachysurus_aff.Truncatus,,1,1,1,,,,,
Tachysurus_argentivittatus,1,1,,,,,1,,
Tachysurus_ondan,,1,1,1,,1,,,1
Hemibagrus_macropterus,1,1,1,1,1,1,1,1,1
Glyptothorax_sinensis,1,1,1,1,,1,,1,
Liobagrus_anguillicauda,1,1,1,1,,1,,,1
Liobagrus_aequilabris,1,1,,1,,,,,1
Silurus_asotus,1,1,1,1,1,1,1,1,1
Silurus_meridionalis,1,1,1,1,1,1,1,,1
Clarias_fuscus,1,1,1,1,,1,1,1,1
Neosalanx_jordani,1,1,,,,,,,
Neosalanx_tangkahkeii,1,1,1,,,,,,
Protosalanx_chinensis,1,,,,,,,,
Hemisalanx_brachyrostralis,1,,1,1,,,,,
Mugil_cephalus,1,,,,,1,,,
Hyporhamphus_intermedius,1,1,1,1,,1,1,,
Oryzias_sinensis,1,1,1,1,,,,,
Gambusia_affinis,,1,,,,,,,
Monopterus_albus,1,1,1,1,1,1,1,1,1
Sinobdella_sinensis,1,1,1,1,,1,,1,1
Mastacembelus_armatus,,1,,1,,,,1,
Siniperca_roulei,1,1,1,1,1,,1,,
Siniperca_chuatsi,1,1,1,1,1,1,1,1,
Siniperca_knerii,1,1,1,1,,1,1,1,1
Siniperca_scherzeri,1,1,1,1,,1,1,1,
Siniperca_obscura,1,1,1,1,1,1,,,
Siniperca_undulata,1,1,1,1,1,1,,,
Odontobutis_potamophilus,,1,,1,,1,,,1
Odontobutis_sinensis,1,1,1,1,1,1,,,1
Micropercops_cinctus,1,1,1,1,1,1,,1,1
Rhinogobius_similis,1,1,1,1,1,1,,1,1
Rhinogobius_cliffordpopei,1,1,1,1,1,1,1,1,1
Rhinogobius_wuyiensis,,,,1,,,,,
Rhinogobius_davidi,,,,,1,,,,
Rhinogobius_niger,,,,1,,,,,
Mugilogobius_myxodermus,1,1,,,,,,,
Macropodus_ocellatus,1,1,1,1,1,1,,1,1
Macropodus_opercularis,1,1,1,1,1,1,,1,1
Channa_orientalis,1,1,1,1,1,1,1,,
Channa_maculata,,1,1,,,1,,,
Channa_asiatica,,1,1,,,1,1,,
Cynoglossus_cynoglossus,1,1,,,,,1,,
Takifugu_obscurus,1,1,,1,,1,1,,
Takifugu_ocellatus,1,1,,,,,1,,
